Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Recovery	Cobalt_concentration_uM_corrected	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Cell_presence	Mean_cobalt_concentration_uM_corrected	Median_cobalt_concentration_uM_corrected	Stdev_cobalt_concentration_uM_corrected	Min_cobalt_concentration_uM_corrected	Max_cobalt_concentration_uM_corrected
72-4.2	2024-02-16_72hr_NoWire+Media_4_F-A	132.068	2.240978111	1	2.240978111	72	No wire	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	4	No cells	1.965212475	1.954942372	0.284990387	1.709987046	2.240978111
72-5.1	2024-02-16_72hr_Wire+Media+DMSO_5_A-F	5563.407	94.40192408	0.970721	97.24928592	72	Wire included	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	5	No cells	86.73391067	81.32809738	35.67100141	52.18098733	132.0984606
72-5.2	2024-02-16_72hr_Wire+Media+DMSO_5_F-A	2130.64	36.15347853	0.952422	37.9635024	72	Wire included	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	5	No cells	30.45772713	28.52632211	5.07278197	26.8147619	37.9635024
72-6.1	2024-02-16_72hr_Wire+Media+DMSO_6_A-F	7691.113	130.5056174	0.987942	132.0984606	72	Wire included	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	6	No cells	86.73391067	81.32809738	35.67100141	52.18098733	132.0984606
72-6.2	2024-02-16_72hr_Wire+Media+DMSO_6_F-A	1652.662	28.04297306	0.97432	28.78209732	72	Wire included	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	6	No cells	30.45772713	28.52632211	5.07278197	26.8147619	37.9635024
72-7.1	2024-02-16_72hr_NoWire+Media+DMSO_7_A-F	100.564	1.70640672	1	1.70640672	72	No wire	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	7	No cells	1.690439488	1.684695697	0.063030943	1.622549057	1.769817503
72-7.2	2024-02-16_72hr_NoWire+Media+DMSO_7_F-A	106.614	1.809065332	1	1.809065332	72	No wire	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	7	No cells	1.772180348	1.75027843	0.160413229	1.609194954	1.978969577
72-8.1	2024-02-16_72hr_NoWire+Media+DMSO_8_A-F	104.301	1.769817503	1	1.769817503	72	No wire	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	8	No cells	1.690439488	1.684695697	0.063030943	1.622549057	1.769817503
72-8.2	2024-02-16_72hr_NoWire+Media+DMSO_8_F-A	116.627	1.978969577	1	1.978969577	72	No wire	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	8	No cells	1.772180348	1.75027843	0.160413229	1.609194954	1.978969577
72-9.1	2024-02-16_72hr_Wire+10%inoc_9_A-F	71548.862	1214.06725	1.00415	1209.049694	72	Wire included	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	9	Live cells	1849.049635	1439.339461	1068.358594	902.9130132	3473.979149
72-9.2	2024-02-16_72hr_Wire+10%inoc_9_F-A	52704.541	894.3099216	0.903513	989.8141162	72	Wire included	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	9	Live cells	1113.090741	1005.360079	255.3664337	948.1227511	1493.520056
