Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Recovery
72-9.2	2024-02-16_72hr_Wire+10%inoc_9_F-A	52704.541	894.3099216	72	Wire included	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	9	0.9405
72-10.1	2024-02-16_72hr_Wire+10%inoc_10_A-F	51910.952	880.8440133	72	Wire included	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	10	0.9405
72-10.2	2024-02-16_72hr_Wire+10%inoc_10_F-A	49983.342	848.135622	72	Wire included	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	10	0.9405
72-11.1	2024-02-16_72hr_NoWire+10%inoc_11_A-F	123.966	2.103500413	72	No wire	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	11	
72-11.2	2024-02-16_72hr_NoWire+10%inoc_11_F-A	112.395	1.907159454	72	No wire	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	11	
72-12.1	2024-02-16_72hr_NoWire+10%inoc_12_A-F	110.662	1.877753276	72	No wire	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	12	
72-12.2	2024-02-16_72hr_NoWire+10%inoc_12_F-A	101.44	1.721271009	72	No wire	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	12	
72-13.1	2024-02-16_72hr_Wire+10%inoc+DMSO_13_A-F	21402.238	363.1609995	72	Wire included	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	13	
72-13.2	2024-02-16_72hr_Wire+10%inoc+DMSO_13_F-A	10286.791	174.5500308	72	Wire included	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	13	
72-14.1	2024-02-16_72hr_Wire+10%inoc+DMSO_14_A-F	10236.224	173.6919914	72	Wire included	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	14	
72-14.2	2024-02-16_72hr_Wire+10%inoc+DMSO_14_F-A	5601.142	95.04222535	72	Wire included	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	14	
72-15.1	2024-02-16_72hr_NoWire+10%inoc+DMSO_15_A-F	104.341	1.770496237	72	No wire	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	15	
72-15.2	2024-02-16_72hr_NoWire+10%inoc+DMSO_15_F-A	108.645	1.843528083	72	No wire	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	15	
72-16.1	2024-02-16_72hr_NoWire+10%inoc+DMSO_16_A-F	102.431	1.738086659	72	No wire	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	16	
72-16.2	2024-02-16_72hr_NoWire+10%inoc+DMSO_16_F-A	104.29	1.769630851	72	No wire	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	16	
168-1.1	2024-02-20_168hr_Wire+Media_1_A-F	49107.95	833.2816505	168	Wire included	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	1	0.9901
168-1.2	2024-02-20_168hr_Wire+Media_1_F-A	4034.93	68.4661675	168	Wire included	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	1	0.9901
168-2.1	2024-02-20_168hr_Wire+Media_2_A-F	14019.409	237.8864577	168	Wire included	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	2	0.9901
168-2.2	2024-02-20_168hr_Wire+Media_2_F-A	10521.689	178.5358659	168	Wire included	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	2	0.9901
168-3.1	2024-02-20_168hr_NoWire+Media_3_A-F	128.554	2.181351274	168	No wire	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	3	
168-3.2	2024-02-20_168hr_NoWire+Media_3_F-A	131.991	2.239671547	168	No wire	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	3	
168-4.1	2024-02-20_168hr_NoWire+Media_4_A-F	127.225	2.158800316	168	No wire	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	4	
168-4.2	2024-02-20_168hr_NoWire+Media_4_F-A	127.335	2.160666836	168	No wire	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	4	
168-5.1	2024-02-20_168hr_Wire+Media+DMSO_5_A-F	15377.016	260.9228297	168	Wire included	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	5	
168-5.2	2024-02-20_168hr_Wire+Media+DMSO_5_F-A	3479.174	59.03589649	168	Wire included	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	5	
