"Sample_name"	"Comment"	"Flask_number"	"Replicate_number"	"Colony_count"	"Volume_plated_mL"	"Dilution_applied"	"CFU_mL"	"Time"	"Wire_treatment"	"Strain"	"DMSO_treatment"	"Technical_mean_CFU_mL"	"Technical_stdev_CFU_mL"	"Biological_mean_CFU_mL"	"Biological_stdev_CFU_mL"
"72-5.6-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.6	2	9	0.1	1e+05	9e+06	72	"Wire included"	"Wild type"	"No DMSO"	7e+06	4358898.94354067	23900000	18091024.9899
"72-5.6-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.6	3	10	0.1	1e+05	1e+07	72	"Wire included"	"Wild type"	"No DMSO"	7e+06	4358898.94354067	23900000	18091024.9899
"72-6.5-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.5	1	46	0.1	1e+07	4.6e+09	72	"No wire"	"Wild type"	"No DMSO"	5266666666.66667	1069267662.15636	5737500000	480589127.104337
"72-6.5-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.5	2	65	0.1	1e+07	6.5e+09	72	"No wire"	"Wild type"	"No DMSO"	5266666666.66667	1069267662.15636	5737500000	480589127.104337
"72-6.5-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.5	3	47	0.1	1e+07	4.7e+09	72	"No wire"	"Wild type"	"No DMSO"	5266666666.66667	1069267662.15636	5737500000	480589127.104337
"72-6.6-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.6	1	56	0.1	1e+07	5.6e+09	72	"No wire"	"Wild type"	"No DMSO"	6.5e+09	9e+08	5737500000	480589127.104337
"72-6.6-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.6	2	74	0.1	1e+07	7.4e+09	72	"No wire"	"Wild type"	"No DMSO"	6.5e+09	9e+08	5737500000	480589127.104337
"72-6.6-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.6	3	65	0.1	1e+07	6.5e+09	72	"No wire"	"Wild type"	"No DMSO"	6.5e+09	9e+08	5737500000	480589127.104337
"168-5.5-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.5	1	20	0.1	10000	2e+06	168	"Wire included"	"Wild type"	"No DMSO"	2133333.33333333	321455.025366432	3611111.11111111	1588850.03837506
"168-5.5-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.5	2	19	0.1	10000	1900000	168	"Wire included"	"Wild type"	"No DMSO"	2133333.33333333	321455.025366432	3611111.11111111	1588850.03837506
"168-5.5-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.5	3	25	0.1	10000	2500000	168	"Wire included"	"Wild type"	"No DMSO"	2133333.33333333	321455.025366432	3611111.11111111	1588850.03837506
"168-5.6-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.6	1	105	0.1	10000	10500000	168	"Wire included"	"Wild type"	"No DMSO"	5366666.66666667	4500370.35513005	3611111.11111111	1588850.03837506
"168-5.6-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.6	2	21	0.1	10000	2100000	168	"Wire included"	"Wild type"	"No DMSO"	5366666.66666667	4500370.35513005	3611111.11111111	1588850.03837506
"168-5.6-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.6	3	35	0.1	10000	3500000	168	"Wire included"	"Wild type"	"No DMSO"	5366666.66666667	4500370.35513005	3611111.11111111	1588850.03837506
"168-6.5-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.5	1	411	0.1	1e+06	4.11e+09	168	"No wire"	"Wild type"	"No DMSO"	4166666666.66667	153079500.042734	4317500000	606507013.62454
"168-6.5-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.5	2	434	0.1	1e+06	4.34e+09	168	"No wire"	"Wild type"	"No DMSO"	4166666666.66667	153079500.042734	4317500000	606507013.62454
"168-6.5-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.5	3	405	0.1	1e+06	4.05e+09	168	"No wire"	"Wild type"	"No DMSO"	4166666666.66667	153079500.042734	4317500000	606507013.62454
"168-6.6-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.6	1	348	0.1	1e+06	3.48e+09	168	"No wire"	"Wild type"	"No DMSO"	3793333333.33333	277908857.961263	4317500000	606507013.62454
"168-6.6-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.6	2	389	0.1	1e+06	3.89e+09	168	"No wire"	"Wild type"	"No DMSO"	3793333333.33333	277908857.961263	4317500000	606507013.62454
"168-6.6-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.6	3	401	0.1	1e+06	4.01e+09	168	"No wire"	"Wild type"	"No DMSO"	3793333333.33333	277908857.961263	4317500000	606507013.62454
"0-1.1-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.1	1	87	0.1	1e+06	8.7e+08	0	"Wire included"	"∆phz"	"No DMSO"	716666666.666667	207926268.983343	728333333.333333	38019133.9387754
"0-1.1-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.1	2	48	0.1	1e+06	4.8e+08	0	"Wire included"	"∆phz"	"No DMSO"	716666666.666667	207926268.983343	728333333.333333	38019133.9387754
"0-1.1-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.1	3	80	0.1	1e+06	8e+08	0	"Wire included"	"∆phz"	"No DMSO"	716666666.666667	207926268.983343	728333333.333333	38019133.9387754
"0-1.2-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.2	1	90	0.1	1e+06	9e+08	0	"Wire included"	"∆phz"	"No DMSO"	686666666.666667	187171935.218219	728333333.333333	38019133.9387754
"0-1.2-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.2	2	61	0.1	1e+06	6.1e+08	0	"Wire included"	"∆phz"	"No DMSO"	686666666.666667	187171935.218219	728333333.333333	38019133.9387754
"0-1.2-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.2	3	55	0.1	1e+06	5.5e+08	0	"Wire included"	"∆phz"	"No DMSO"	686666666.666667	187171935.218219	728333333.333333	38019133.9387754
"0-1.3-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.3	1	86	0.1	1e+06	8.6e+08	0	"Wire included"	"∆phz"	"No DMSO"	786666666.666667	64291005.0732864	728333333.333333	38019133.9387754
"0-1.3-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.3	2	74	0.1	1e+06	7.4e+08	0	"Wire included"	"∆phz"	"No DMSO"	786666666.666667	64291005.0732864	728333333.333333	38019133.9387754
"0-1.3-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.3	3	76	0.1	1e+06	7.6e+08	0	"Wire included"	"∆phz"	"No DMSO"	786666666.666667	64291005.0732864	728333333.333333	38019133.9387754
"0-1.4-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.4	1	69	0.1	1e+06	6.9e+08	0	"Wire included"	"∆phz"	"No DMSO"	723333333.333333	49328828.6231625	728333333.333333	38019133.9387754
"0-1.4-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.4	2	70	0.1	1e+06	7e+08	0	"Wire included"	"∆phz"	"No DMSO"	723333333.333333	49328828.6231625	728333333.333333	38019133.9387754
"0-1.4-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.4	3	78	0.1	1e+06	7.8e+08	0	"Wire included"	"∆phz"	"No DMSO"	723333333.333333	49328828.6231625	728333333.333333	38019133.9387754
"0-2.1-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.1	1	102	0.1	1e+06	1.02e+09	0	"No wire"	"∆phz"	"No DMSO"	8.2e+08	174355957.741627	7.75e+08	63365223.2312924
"0-2.1-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.1	2	70	0.1	1e+06	7e+08	0	"No wire"	"∆phz"	"No DMSO"	8.2e+08	174355957.741627	7.75e+08	63365223.2312924
"0-2.1-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.1	3	74	0.1	1e+06	7.4e+08	0	"No wire"	"∆phz"	"No DMSO"	8.2e+08	174355957.741627	7.75e+08	63365223.2312924
"0-2.2-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.2	1	86	0.1	1e+06	8.6e+08	0	"No wire"	"∆phz"	"No DMSO"	843333333.333333	47258156.2625261	7.75e+08	63365223.2312924
"0-2.2-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.2	2	79	0.1	1e+06	7.9e+08	0	"No wire"	"∆phz"	"No DMSO"	843333333.333333	47258156.2625261	7.75e+08	63365223.2312924
"0-2.2-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.2	3	88	0.1	1e+06	8.8e+08	0	"No wire"	"∆phz"	"No DMSO"	843333333.333333	47258156.2625261	7.75e+08	63365223.2312924
"0-2.3-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.3	1	77	0.1	1e+06	7.7e+08	0	"No wire"	"∆phz"	"No DMSO"	6.9e+08	165227116.418583	7.75e+08	63365223.2312924
"0-2.3-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.3	2	80	0.1	1e+06	8e+08	0	"No wire"	"∆phz"	"No DMSO"	6.9e+08	165227116.418583	7.75e+08	63365223.2312924
"0-2.3-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.3	3	50	0.1	1e+06	5e+08	0	"No wire"	"∆phz"	"No DMSO"	6.9e+08	165227116.418583	7.75e+08	63365223.2312924
"0-2.4-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.4	1	74	0.1	1e+06	7.4e+08	0	"No wire"	"∆phz"	"No DMSO"	746666666.666667	30550504.6330389	7.75e+08	63365223.2312924
"0-2.4-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.4	2	72	0.1	1e+06	7.2e+08	0	"No wire"	"∆phz"	"No DMSO"	746666666.666667	30550504.6330389	7.75e+08	63365223.2312924
"0-2.4-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.4	3	78	0.1	1e+06	7.8e+08	0	"No wire"	"∆phz"	"No DMSO"	746666666.666667	30550504.6330389	7.75e+08	63365223.2312924
"24-1.1-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.1	1	50	0.1	1e+06	5e+08	24	"Wire included"	"∆phz"	"No DMSO"	443333333.333333	134288247.189891	531666666.666667	58904133.7233387
"24-1.1-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.1	2	54	0.1	1e+06	5.4e+08	24	"Wire included"	"∆phz"	"No DMSO"	443333333.333333	134288247.189891	531666666.666667	58904133.7233387
"24-1.1-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.1	3	29	0.1	1e+06	2.9e+08	24	"Wire included"	"∆phz"	"No DMSO"	443333333.333333	134288247.189891	531666666.666667	58904133.7233387
"24-1.2-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.2	1	60	0.1	1e+06	6e+08	24	"Wire included"	"∆phz"	"No DMSO"	6e+08	4e+07	531666666.666667	58904133.7233387
"24-1.2-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.2	2	64	0.1	1e+06	6.4e+08	24	"Wire included"	"∆phz"	"No DMSO"	6e+08	4e+07	531666666.666667	58904133.7233387
"24-1.2-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.2	3	56	0.1	1e+06	5.6e+08	24	"Wire included"	"∆phz"	"No DMSO"	6e+08	4e+07	531666666.666667	58904133.7233387
"24-1.3-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.3	1	67	0.1	1e+06	6.7e+08	24	"Wire included"	"∆phz"	"No DMSO"	546666666.666667	107857931.24909	531666666.666667	58904133.7233387
"24-1.3-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.3	2	47	0.1	1e+06	4.7e+08	24	"Wire included"	"∆phz"	"No DMSO"	546666666.666667	107857931.24909	531666666.666667	58904133.7233387
"24-1.3-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.3	3	50	0.1	1e+06	5e+08	24	"Wire included"	"∆phz"	"No DMSO"	546666666.666667	107857931.24909	531666666.666667	58904133.7233387
"24-1.4-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.4	1	39	0.1	1e+06	3.9e+08	24	"Wire included"	"∆phz"	"No DMSO"	536666666.666667	150111069.989303	531666666.666667	58904133.7233387
"24-1.4-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.4	2	69	0.1	1e+06	6.9e+08	24	"Wire included"	"∆phz"	"No DMSO"	536666666.666667	150111069.989303	531666666.666667	58904133.7233387
"24-1.4-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.4	3	53	0.1	1e+06	5.3e+08	24	"Wire included"	"∆phz"	"No DMSO"	536666666.666667	150111069.989303	531666666.666667	58904133.7233387
"24-2.1-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.1	1	78	0.1	1e+07	7.8e+09	24	"No wire"	"∆phz"	"No DMSO"	7.4e+09	529150262.212918	7216666666.66667	633173823.613304
"24-2.1-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.1	2	76	0.1	1e+07	7.6e+09	24	"No wire"	"∆phz"	"No DMSO"	7.4e+09	529150262.212918	7216666666.66667	633173823.613304
"24-2.1-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.1	3	68	0.1	1e+07	6.8e+09	24	"No wire"	"∆phz"	"No DMSO"	7.4e+09	529150262.212918	7216666666.66667	633173823.613304
"24-2.2-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.2	1	78	0.1	1e+07	7.8e+09	24	"No wire"	"∆phz"	"No DMSO"	8066666666.66667	378593889.720018	7216666666.66667	633173823.613304
"24-2.2-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.2	2	85	0.1	1e+07	8.5e+09	24	"No wire"	"∆phz"	"No DMSO"	8066666666.66667	378593889.720018	7216666666.66667	633173823.613304
"24-2.2-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.2	3	79	0.1	1e+07	7.9e+09	24	"No wire"	"∆phz"	"No DMSO"	8066666666.66667	378593889.720018	7216666666.66667	633173823.613304
"24-2.3-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.3	1	66	0.1	1e+07	6.6e+09	24	"No wire"	"∆phz"	"No DMSO"	7e+09	4e+08	7216666666.66667	633173823.613304
"24-2.3-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.3	2	70	0.1	1e+07	7e+09	24	"No wire"	"∆phz"	"No DMSO"	7e+09	4e+08	7216666666.66667	633173823.613304
"24-2.3-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.3	3	74	0.1	1e+07	7.4e+09	24	"No wire"	"∆phz"	"No DMSO"	7e+09	4e+08	7216666666.66667	633173823.613304
"24-2.4-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.4	1	76	0.1	1e+07	7.6e+09	24	"No wire"	"∆phz"	"No DMSO"	6.4e+09	1058300524.42584	7216666666.66667	633173823.613304
"24-2.4-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.4	2	60	0.1	1e+07	6e+09	24	"No wire"	"∆phz"	"No DMSO"	6.4e+09	1058300524.42584	7216666666.66667	633173823.613304
"24-2.4-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.4	3	56	0.1	1e+07	5.6e+09	24	"No wire"	"∆phz"	"No DMSO"	6.4e+09	1058300524.42584	7216666666.66667	633173823.613304
"72-1.1-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.1	1	268	0.1	1e+05	2.68e+08	72	"Wire included"	"∆phz"	"No DMSO"	257333333.333333	52814139.5209023	154250000	63157990.9289539
"72-1.1-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.1	2	304	0.1	1e+05	3.04e+08	72	"Wire included"	"∆phz"	"No DMSO"	257333333.333333	52814139.5209023	154250000	63157990.9289539
"72-1.1-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.1	3	200	0.1	1e+05	2e+08	72	"Wire included"	"∆phz"	"No DMSO"	257333333.333333	52814139.5209023	154250000	63157990.9289539
"72-1.2-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.2	1	150	0.1	1e+05	1.5e+08	72	"Wire included"	"∆phz"	"No DMSO"	1.33e+08	20663978.3197718	154250000	63157990.9289539
"72-1.2-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.2	2	139	0.1	1e+05	1.39e+08	72	"Wire included"	"∆phz"	"No DMSO"	1.33e+08	20663978.3197718	154250000	63157990.9289539
"72-1.2-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.2	3	110	0.1	1e+05	1.1e+08	72	"Wire included"	"∆phz"	"No DMSO"	1.33e+08	20663978.3197718	154250000	63157990.9289539
"72-1.3-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.3	1	92	0.1	1e+05	9.2e+07	72	"Wire included"	"∆phz"	"No DMSO"	103333333.333333	12055427.5466834	154250000	63157990.9289539
"72-1.3-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.3	2	102	0.1	1e+05	1.02e+08	72	"Wire included"	"∆phz"	"No DMSO"	103333333.333333	12055427.5466834	154250000	63157990.9289539
"72-1.3-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.3	3	116	0.1	1e+05	1.16e+08	72	"Wire included"	"∆phz"	"No DMSO"	103333333.333333	12055427.5466834	154250000	63157990.9289539
"72-1.4-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.4	1	130	0.1	1e+05	1.3e+08	72	"Wire included"	"∆phz"	"No DMSO"	123333333.333333	28589042.1898554	154250000	63157990.9289539
"72-1.4-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.4	2	148	0.1	1e+05	1.48e+08	72	"Wire included"	"∆phz"	"No DMSO"	123333333.333333	28589042.1898554	154250000	63157990.9289539
"72-1.4-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.4	3	92	0.1	1e+05	9.2e+07	72	"Wire included"	"∆phz"	"No DMSO"	123333333.333333	28589042.1898554	154250000	63157990.9289539
"72-2.1-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.1	1	79	0.1	1e+07	7.9e+09	72	"No wire"	"∆phz"	"No DMSO"	8566666666.66667	763762615.825973	8683333333.33333	876805496.554327
"72-2.1-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.1	2	94	0.1	1e+07	9.4e+09	72	"No wire"	"∆phz"	"No DMSO"	8566666666.66667	763762615.825973	8683333333.33333	876805496.554327
"72-2.1-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.1	3	84	0.1	1e+07	8.4e+09	72	"No wire"	"∆phz"	"No DMSO"	8566666666.66667	763762615.825973	8683333333.33333	876805496.554327
"72-2.2-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.2	1	77	0.1	1e+07	7.7e+09	72	"No wire"	"∆phz"	"No DMSO"	7533333333.33333	665832811.847939	8683333333.33333	876805496.554327
"72-2.2-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.2	2	81	0.1	1e+07	8.1e+09	72	"No wire"	"∆phz"	"No DMSO"	7533333333.33333	665832811.847939	8683333333.33333	876805496.554327
"72-2.2-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.2	3	68	0.1	1e+07	6.8e+09	72	"No wire"	"∆phz"	"No DMSO"	7533333333.33333	665832811.847939	8683333333.33333	876805496.554327
"72-2.3-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.3	1	90	0.1	1e+07	9e+09	72	"No wire"	"∆phz"	"No DMSO"	9.9e+09	9e+08	8683333333.33333	876805496.554327
"72-2.3-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.3	2	99	0.1	1e+07	9.9e+09	72	"No wire"	"∆phz"	"No DMSO"	9.9e+09	9e+08	8683333333.33333	876805496.554327
"72-2.3-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.3	3	108	0.1	1e+07	1.08e+10	72	"No wire"	"∆phz"	"No DMSO"	9.9e+09	9e+08	8683333333.33333	876805496.554327
"72-2.4-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.4	1	75	0.1	1e+07	7.5e+09	72	"No wire"	"∆phz"	"No DMSO"	8733333333.33333	1123981020.00582	8683333333.33333	876805496.554327
"72-2.4-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.4	2	90	0.1	1e+07	9e+09	72	"No wire"	"∆phz"	"No DMSO"	8733333333.33333	1123981020.00582	8683333333.33333	876805496.554327
"72-2.4-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.4	3	97	0.1	1e+07	9.7e+09	72	"No wire"	"∆phz"	"No DMSO"	8733333333.33333	1123981020.00582	8683333333.33333	876805496.554327
"168-1.1-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.1	1	104	0.1	10000	10400000	168	"Wire included"	"∆phz"	"No DMSO"	8833333.33333333	1913983.62932741	6633333.33333333	2651586.1462357
"168-1.1-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.1	2	94	0.1	10000	9400000	168	"Wire included"	"∆phz"	"No DMSO"	8833333.33333333	1913983.62932741	6633333.33333333	2651586.1462357
"168-1.1-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.1	3	67	0.1	10000	6700000	168	"Wire included"	"∆phz"	"No DMSO"	8833333.33333333	1913983.62932741	6633333.33333333	2651586.1462357
"168-1.2-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.2	1	38	0.1	10000	3800000	168	"Wire included"	"∆phz"	"No DMSO"	4466666.66666667	1890326.25050104	6633333.33333333	2651586.1462357
"168-1.2-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.2	2	66	0.1	10000	6600000	168	"Wire included"	"∆phz"	"No DMSO"	4466666.66666667	1890326.25050104	6633333.33333333	2651586.1462357
"168-1.2-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.2	3	30	0.1	10000	3e+06	168	"Wire included"	"∆phz"	"No DMSO"	4466666.66666667	1890326.25050104	6633333.33333333	2651586.1462357
"168-1.3-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.3	1	28	0.1	10000	2800000	168	"Wire included"	"∆phz"	"No DMSO"	3766666.66666667	1059874.20637231	6633333.33333333	2651586.1462357
"168-1.3-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.3	2	49	0.1	10000	4900000	168	"Wire included"	"∆phz"	"No DMSO"	3766666.66666667	1059874.20637231	6633333.33333333	2651586.1462357
"168-1.3-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.3	3	36	0.1	10000	3600000	168	"Wire included"	"∆phz"	"No DMSO"	3766666.66666667	1059874.20637231	6633333.33333333	2651586.1462357
"168-1.4-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.4	1	93	0.1	10000	9300000	168	"Wire included"	"∆phz"	"No DMSO"	9466666.66666667	763762.615825973	6633333.33333333	2651586.1462357
"168-1.4-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.4	2	103	0.1	10000	10300000	168	"Wire included"	"∆phz"	"No DMSO"	9466666.66666667	763762.615825973	6633333.33333333	2651586.1462357
"168-1.4-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	1.4	3	88	0.1	10000	8800000	168	"Wire included"	"∆phz"	"No DMSO"	9466666.66666667	763762.615825973	6633333.33333333	2651586.1462357
"168-2.1-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.1	1	65	0.1	1e+07	6.5e+09	168	"No wire"	"∆phz"	"No DMSO"	6066666666.66667	513160143.944688	5141666666.66667	558338986.85514
"168-2.1-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.1	2	55	0.1	1e+07	5.5e+09	168	"No wire"	"∆phz"	"No DMSO"	6066666666.66667	513160143.944688	5141666666.66667	558338986.85514
"168-2.1-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.1	3	62	0.1	1e+07	6.2e+09	168	"No wire"	"∆phz"	"No DMSO"	6066666666.66667	513160143.944688	5141666666.66667	558338986.85514
"168-2.2-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.2	1	52	0.1	1e+07	5.2e+09	168	"No wire"	"∆phz"	"No DMSO"	4866666666.66667	665832811.847939	5141666666.66667	558338986.85514
"168-2.2-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.2	2	41	0.1	1e+07	4.1e+09	168	"No wire"	"∆phz"	"No DMSO"	4866666666.66667	665832811.847939	5141666666.66667	558338986.85514
"168-2.2-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.2	3	53	0.1	1e+07	5.3e+09	168	"No wire"	"∆phz"	"No DMSO"	4866666666.66667	665832811.847939	5141666666.66667	558338986.85514
"168-2.3-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.3	1	35	0.1	1e+07	3.5e+09	168	"No wire"	"∆phz"	"No DMSO"	4.8e+09	1135781669.16005	5141666666.66667	558338986.85514
"168-2.3-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.3	2	56	0.1	1e+07	5.6e+09	168	"No wire"	"∆phz"	"No DMSO"	4.8e+09	1135781669.16005	5141666666.66667	558338986.85514
"168-2.3-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.3	3	53	0.1	1e+07	5.3e+09	168	"No wire"	"∆phz"	"No DMSO"	4.8e+09	1135781669.16005	5141666666.66667	558338986.85514
"168-2.4-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.4	1	51	0.1	1e+07	5.1e+09	168	"No wire"	"∆phz"	"No DMSO"	4833333333.33333	929157324.317757	5141666666.66667	558338986.85514
"168-2.4-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.4	2	38	0.1	1e+07	3.8e+09	168	"No wire"	"∆phz"	"No DMSO"	4833333333.33333	929157324.317757	5141666666.66667	558338986.85514
"168-2.4-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	2.4	3	56	0.1	1e+07	5.6e+09	168	"No wire"	"∆phz"	"No DMSO"	4833333333.33333	929157324.317757	5141666666.66667	558338986.85514
